,Media Source,Date,Text,Tweets Ago,Compound,Negative,Neutral,Positive
0,BBC News (UK),Thu Nov 08 03:31:17 +0000 2018,Historic England: The endangered buildings saved from ruin https://t.co/qKG9syCEQo,1,-0.25,0.515,0.279,0.206
1,BBC News (UK),Thu Nov 08 03:16:38 +0000 2018,Man City 6-0 Shakhtar Donetsk: Bizarre penalty helps set up record Champions League win https://t.co/Lv5te0DO3i,2,0.6705,0.398,0.211,0.39
2,BBC News (UK),Thu Nov 08 03:09:39 +0000 2018,Pregnancy and birth: Mum Clemmie Telford on candid Instagram images https://t.co/mCr0vLq72j,3,0.0,1.0,0.0,0.0
3,BBC News (UK),Thu Nov 08 03:02:57 +0000 2018,"Young, female and elected - advice for new congresswomen from women MPs https://t.co/6y5wnBJAKb",4,0.0,1.0,0.0,0.0
4,BBC News (UK),Thu Nov 08 02:48:51 +0000 2018,Prince Charles won't 'meddle' when he becomes king https://t.co/aJcuWCmPAU,5,0.0,1.0,0.0,0.0
5,BBC News (UK),Thu Nov 08 01:16:27 +0000 2018,Leicester City helicopter crash tributes to be moved https://t.co/BGm1cL4Jzb,6,-0.4019,0.748,0.252,0.0
6,BBC News (UK),Thu Nov 08 00:52:48 +0000 2018,"Dutch man, 69, brings lawsuit to lower his age 20 years https://t.co/pIDdaKwzUe",7,-0.4767,0.709,0.291,0.0
7,BBC News (UK),Wed Nov 07 23:34:45 +0000 2018,Paper headlines: Trump eyes re-election and Charles 'not stupid' https://t.co/BrnVcxnWxL,8,0.4168,0.764,0.0,0.236
8,BBC News (UK),Wed Nov 07 23:12:05 +0000 2018,Thursday's i: Fightback against Trump begins #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/dkXmKlBGI8,9,0.0,1.0,0.0,0.0
9,BBC News (UK),Wed Nov 07 23:10:37 +0000 2018,Man City: How damaging are the Football Leaks allegations? https://t.co/7U7BVQFCwY,10,-0.5106,0.732,0.268,0.0
10,BBC News (UK),Wed Nov 07 23:10:37 +0000 2018,Thursday's Times: Trump points to second term #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/xarIe5FYCx,11,0.0,1.0,0.0,0.0
